Year,Website,Total Orders,Total Returns,Return Rate (%),Returns Due to Fit (%)
2020,Myntra,1000000,100000,10,50
2021,Myntra,1200000,110000,9.166666667,50
2022,Myntra,1400000,120000,8.571428571,50
2023,Myntra,1600000,130000,8.125,50
2020,Nykaa,800000,80000,10,50
2021,Nykaa,900000,90000,10,50
2022,Nykaa,1000000,100000,10,50
2023,Nykaa,1100000,110000,10,50
2020,Ajio,900000,90000,10,50
2021,Ajio,1000000,95000,9.5,52.63157895
2022,Ajio,1100000,100000,9.090909091,55
2023,Ajio,1200000,105000,8.75,57.14285714
